Dropout,epochs,kernel_size,kernel_size_1,kernel_size_2,loss,optimizer,pool_size,pool_size_1,pool_size_2,accuray
0.019912544881439953,145,5,4,4,mean_squared_error,rmsprop,1,2,1,0.5642857269517013
0.03382854967252419,118,4,6,5,categorical_crossentropy,adam,2,1,1,0.9142857193946838
0.3521654570424688,90,7,3,6,mean_squared_error,adam,3,1,2,0.9571428596973419
0.08012506737393565,149,7,6,5,mean_squared_error,sgd,2,2,2,0.9071428626775742
0.4182140362909876,149,6,5,6,mean_squared_error,rmsprop,4,1,2,0.9142857193946838
0.2133592523277144,146,4,3,6,categorical_crossentropy,rmsprop,3,2,1,0.9500000029802322
0.20195451148180676,118,3,6,5,categorical_crossentropy,adam,1,2,2,0.9285714328289032
0.10549830270553806,138,4,3,5,categorical_crossentropy,sgd,4,2,1,0.9071428626775742
0.3237079338781867,76,3,4,6,categorical_crossentropy,rmsprop,4,2,1,0.9285714328289032
0.44443581989148895,144,6,5,3,categorical_crossentropy,sgd,4,1,2,0.9071428626775742
0.12987198132770106,125,6,4,3,categorical_crossentropy,rmsprop,4,2,2,0.9142857193946838
0.1233672284250234,97,4,6,6,mean_squared_error,rmsprop,1,1,2,0.60000001426254
0.40854267231048247,144,4,7,6,mean_squared_error,rmsprop,4,2,2,0.9642857164144516
0.41164894603425467,100,7,3,6,mean_squared_error,sgd,1,2,1,0.9000000059604645
0.33467489854111915,110,5,5,4,mean_squared_error,sgd,1,2,2,0.8928571492433548
0.03378807352143115,144,6,6,7,categorical_crossentropy,sgd,1,2,2,0.9428571451987539
0.2910148460697705,95,4,6,3,categorical_crossentropy,sgd,2,2,2,0.9142857193946838
0.22414604610911326,143,6,3,4,mean_squared_error,adam,4,1,2,0.9428571462631226
0.39196017191438204,114,6,4,5,mean_squared_error,rmsprop,1,2,1,0.6071428688509124
0.30912589266287765,141,3,4,4,mean_squared_error,adam,1,1,2,0.5928571548845086
